hotel_name,fixed_price,recomendation,jr_station
Yunosuke-No-Yado Chorakuen,6575,8.6,Matsue
Sana Inn Town,1557,8.4,Wakayama
IZU KUMAMOTO SUN VILLA,3629,8.7,Shizuoka
Annex Tamayu,974,7.5,Matsue
WPU Shinjuku,4926,8.9,Shinjuku
Daiwa Roynet Hotel Chiba-Chuo,6069,8.8,Chiba
Okayama Koraku Hotel,1807,8.7,Okayama
YONAGO CITYGARDENS HOTEL,2358,7.2,Yonago
APA HOTEL KYOTO EKIMAE CHUOGUCHI,5789,8,Kyoto
APA Hotel Chibachuo Ekimae,1807,7.6,Chiba
Asukasou Hotel,12207,9.1,Nara
APA Hotel Asakusa-Ekimae,2417,8.8,Tokyo
APA Hotel Hiroshima-Ekimae,1984,7.5,Hiroshima
Almont Inn Nihonbashi,3459,8.6,Tokyo
Ohashikan,3274,9,Matsue
ANA Crowne Plaza Yonago,1563,8.2,Yonago
Hotel Granvia Wakayama,4244,8.4,Wakayama
Shizutetsu Hotel Prezio Shizuoka Ekinan,3502.5,8.4,Shizuoka
APA Hotel Shizuoka Ekikita,1351,7.7,Shizuoka
APA Hotel Haneda Anamoriinari Ekimae,2409,8.1,Tokyo
Ours Inn Hankyu,3027,8.2,Tokyo
Yonago Washington Hotel Plaza,1453,7.9,Yonago
Dormy Inn Kawasaki Natural Hot Spring,3189,8.8,Yokohama
Kyukamura Kishu-Kada,20740,9.3,Wakayama
Hotel Livemax BUDGET Fuji-ekimae,5386,7.1,Fuji
Matsue City Hotel (Annex),1501,6.6,Matsue
Hotel Nishimura,2246,8.3,Fuji
Aburaya,4872,9.2,Fukuchiyama
TRUSTHOTEL,5120,8.6,Hiroshima
GREEN,4661,6.3,Okayama
Kaike Yugetsu,9693,9,Yonago
Fujieda Y-House Youth Hostel,2288,8.3,Shizuoka
Shin-Izumi Goyotei,6683,9,Shizuoka
UNIZO INN Kobe Sannomiya,4859,8.5,Kobe
Kaike Kikunoya,6338,8.8,Yonago
Almont Hotel Nippori,2405,8.8,Tokyo
Shizuoka Hotel Tokinosumika,2272,7.7,Shizuoka
Miroku Nara by THE SHARE HOTELS,7386,8.7,Nara
Hotel Villa Fontaine Kobe-Sannomiya,2551,8.5,Kobe
Toyoko Inn Tenri Ekimae,1773,8.8,Nara
IZU KUMAMOTO ONSEN,3488,8.4,Shizuoka
Tabist Matsuekan,1822,8.3,Matsue
APA Hotel Yodoyabashi Kitahama Ekimae,2000,8.6,Osaka
Recent Culture Hotel,3626,7.5,Okayama
Centurion Hotel&Spa Vintage Kobe,3881,8.3,Kobe
Hotel Sanada,1115,7.2,Yonago
HOTEL LASCALA,1722,8.7,Wakayama
Daiwa Roynet Hotels Wakayama,3125,8.4,Wakayama
Kobe Tor Road Hotel Sanraku,5999,8.3,Kobe
Prince Smart Inn Osaka Yodoyabashi,1680,8.4,Osaka
Goi Grand Hotel,2328,7.8,Chiba
Hotel The Knot Yokohama,5042,8.2,Yokohama
Hotel Route Inn Masuda,10718,8.2,Masuda
Sanco Inn Shizuoka Kitaguchi,1697,8.1,Shizuoka
APA Hotel Kyoto-Ekimae,8207,7.9,Kyoto
Takeuchi Goya,4482,8.1,Chiba
Onyado Nono Kyoto Shichijo Natural Hot Spring,15307,9,Kyoto
Hotel Hankyu RESPIRE OSAKA,4590,8.8,Osaka
