airport_name,jr_station_name,ticket_price_jyp,duration_minute
NRT,Tokyo,3070,60
NRT,Shizuoka,3250,85
NRT,Fuji,3070,93
NRT,Shinjuku,3070,93
NRT,Yokohama,4370,89
NRT,Chiba,780,50
HND,Tokyo,410,13
HND,Shizuoka,5750,95
HND,Fuji,4557,105
HND,Shinjuku,490,30
HND,Yokohama,450,20
HND,Chiba,110,1240
KIX,Osaka,2410,45
KIX,Kyoto,3110,80
KIX,Nara,2800,75
KIX,Kobe,3500,75
KIX,Wakayama,890,45
KIX,Masuda,1652,131
KIX,Yamaguchi,9400,120
KIX,Hiroshima,9710,104
KIX,Matsue,11910,265
KIX,Yonago,5870,284
KIX,Tottori,5000,256
KIX,Okayama,3600,50
KIX,Fukuchiyama,3190,195
