Column1,Column2,Column4,Column5,Column6,Column7,Column10,col11
4156,Thai VietJet Air,KIX,20240111,750,225,1115,1734
4754,馬印航空,KIX,20240111,715,220,1035,1735
5210,樂桃,KIX,20240111,1055,230,1425,1736
6892,台灣虎航,KIX,20240111,700,225,1025,1737
8996,STARLUX Airlines星宇航空,KIX,20240111,920,230,1250,1738
5210,樂桃,KIX,20240111,1840,230,2210,1739
9413,中華航空,KIX,20240111,810,225,1135,1740
9413,中華航空,KIX,20240111,950,230,1320,1741
9589,STARLUX Airlines星宇航空,KIX,20240111,740,230,1110,1742
9252,長榮航空,KIX,20240111,830,225,1155,1743
9413,中華航空,KIX,20240111,810,225,1135,1744
9252,長榮航空,KIX,20240111,630,225,955,1745
6410,樂桃,KIX,20240111,1425,230,1755,1746
9252,長榮航空,KIX,20240111,830,225,1155,1747
8758,中華航空,KIX,20240111,1420,225,1745,1748
8758,中華航空,KIX,20240111,1420,225,1745,1749
9252,長榮航空,KIX,20240111,630,225,955,1750
9784,國泰航空,KIX,20240111,1115,230,1445,1751
9252,長榮航空,KIX,20240111,1300,225,1625,1752
9252,長榮航空,KIX,20240111,1300,225,1625,1753
9252,長榮航空,KIX,20240111,1300,225,1625,1754
11033,日本航空,KIX,20240111,1325,230,1655,1755
11033,日本航空,KIX,20240111,1325,230,1655,1756
4514,Thai VietJet Air,KIX,20240112,635,225,1000,1757
6892,台灣虎航,KIX,20240112,700,225,1025,1758
6410,樂桃,KIX,20240112,1055,230,1425,1759
8757,長榮航空,KIX,20240112,630,225,955,1760
8757,長榮航空,KIX,20240112,830,225,1155,1761
6892,台灣虎航,KIX,20240112,1205,225,1530,1762
5810,樂桃,KIX,20240112,1425,230,1755,1763
9566,STARLUX Airlines星宇航空,KIX,20240112,920,230,1250,1764
9566,STARLUX Airlines星宇航空,KIX,20240112,740,230,1110,1765
9822,中華航空,KIX,20240112,810,225,1135,1766
9226,國泰航空,KIX,20240112,1115,230,1445,1767
9822,中華航空,KIX,20240112,950,230,1320,1768
9158,長榮航空,KIX,20240112,830,225,1155,1769
8757,長榮航空,KIX,20240112,1300,225,1625,1770
9158,長榮航空,KIX,20240112,630,225,955,1771
9198,中華航空,KIX,20240112,1420,225,1745,1772
9158,長榮航空,KIX,20240112,1300,225,1625,1773
6410,樂桃,KIX,20240112,1840,230,2210,1774
10939,日本航空,KIX,20240112,1325,230,1655,1775
10939,日本航空,KIX,20240112,1325,230,1655,1776
24157,中華航空,KIX,20240112,1420,225,1745,1777
24157,中華航空,KIX,20240112,810,225,1135,1778
24159,中華航空,KIX,20240112,950,230,1320,1779
5695,馬印航空,KIX,20240113,715,220,1035,1780
5636,Thai VietJet Air,KIX,20240113,635,225,1000,1781
9784,國泰航空,KIX,20240113,1115,230,1445,1782
8010,樂桃,KIX,20240113,1040,230,1410,1783
8199,台灣虎航,KIX,20240113,1205,225,1530,1784
12218,STARLUX Airlines星宇航空,KIX,20240113,740,230,1110,1785
8010,樂桃,KIX,20240113,1425,230,1755,1786
13245,STARLUX Airlines星宇航空,KIX,20240113,920,230,1250,1787
11199,台灣虎航,KIX,20240113,700,225,1025,1788
13814,中華航空,KIX,20240113,810,225,1135,1789
13814,中華航空,KIX,20240113,810,225,1135,1790
14205,長榮航空,KIX,20240113,830,225,1155,1791
14142,長榮航空,KIX,20240113,830,225,1155,1792
14142,長榮航空,KIX,20240113,630,225,955,1793
14205,長榮航空,KIX,20240113,830,225,1155,1794
14205,長榮航空,KIX,20240113,830,225,1155,1795
14205,長榮航空,KIX,20240113,830,225,1155,1796
14205,長榮航空,KIX,20240113,830,225,1155,1797
14205,長榮航空,KIX,20240113,830,225,1155,1798
14205,長榮航空,KIX,20240113,1300,225,1625,1799
9010,樂桃,KIX,20240113,1840,230,2210,1800
17399,中華航空,KIX,20240113,950,230,1320,1801
17399,中華航空,KIX,20240113,950,230,1320,1802
20930,長榮航空,KIX,20240113,1300,225,1625,1803
20997,中華航空,KIX,20240113,1420,225,1745,1804
20930,長榮航空,KIX,20240113,1300,225,1625,1805
20930,長榮航空,KIX,20240113,1300,225,1625,1806
20930,長榮航空,KIX,20240113,1300,225,1625,1807
24873,長榮航空,KIX,20240113,630,225,955,1808
24828,長榮航空,KIX,20240113,630,225,955,1809
24873,長榮航空,KIX,20240113,630,225,955,1810
50765,中華航空,KIX,20240113,1420,225,1745,1811
9806,國泰航空,KIX,20240114,1115,230,1445,1812
10302,長榮航空,KIX,20240114,830,225,1155,1813
10302,長榮航空,KIX,20240114,830,225,1155,1814
10056,馬印航空,KIX,20240114,715,220,1035,1815
8552,Thai VietJet Air,KIX,20240114,750,225,1115,1816
10299,台灣虎航,KIX,20240114,700,225,1025,1817
13165,STARLUX Airlines星宇航空,KIX,20240114,740,230,1110,1818
14195,STARLUX Airlines星宇航空,KIX,20240114,920,230,1250,1819
11210,樂桃,KIX,20240114,1055,230,1425,1820
10010,樂桃,KIX,20240114,1840,230,2210,1821
12410,樂桃,KIX,20240114,1425,230,1755,1822
17516,中華航空,KIX,20240114,1420,225,1745,1823
23770,中華航空,KIX,20240114,950,230,1320,1824
23770,中華航空,KIX,20240114,810,225,1135,1825
23770,中華航空,KIX,20240114,810,225,1135,1826
25990,長榮航空,KIX,20240114,1300,225,1625,1827
42065,長榮航空,KIX,20240114,630,225,955,1828
42065,長榮航空,KIX,20240114,1300,225,1625,1829
9703,國泰航空,KIX,20240115,1115,230,1445,1830
8393,台灣虎航,KIX,20240115,700,225,1025,1831
10302,長榮航空,KIX,20240115,830,225,1155,1832
10302,全日空,KIX,20240115,830,225,1155,1833
7937,Thai VietJet Air,KIX,20240115,635,225,1000,1834
10302,長榮航空,KIX,20240115,630,225,955,1835
10302,全日空,KIX,20240115,630,225,955,1836
9010,樂桃,KIX,20240115,1055,230,1425,1837
12218,STARLUX Airlines星宇航空,KIX,20240115,920,230,1250,1838
13083,STARLUX Airlines星宇航空,KIX,20240115,740,230,1110,1839
11418,台灣虎航,KIX,20240115,1205,225,1530,1840
13388,日本航空,KIX,20240115,1325,230,1655,1841
13321,日本航空,KIX,20240115,1325,230,1655,1842
15663,中華航空,KIX,20240115,810,225,1135,1843
14142,長榮航空,KIX,20240115,1300,225,1625,1844
15663,中華航空,KIX,20240115,810,225,1135,1845
17399,中華航空,KIX,20240115,950,230,1320,1846
17399,日本航空,KIX,20240115,950,230,1320,1847
11210,樂桃,KIX,20240115,1840,230,2210,1848
17399,中華航空,KIX,20240115,1420,225,1745,1849
17399,日本航空,KIX,20240115,1420,225,1745,1850
13810,樂桃,KIX,20240115,1425,230,1755,1851
30207,全日空,KIX,20240115,1300,225,1625,1852
9387,長榮航空,KIX,20240116,830,225,1155,1853
8199,台灣虎航,KIX,20240116,700,225,1025,1854
9806,國泰航空,KIX,20240116,1115,230,1445,1855
7862,馬印航空,KIX,20240116,715,220,1035,1856
10324,STARLUX Airlines星宇航空,KIX,20240116,920,230,1250,1857
7556,Thai VietJet Air,KIX,20240116,635,225,1000,1858
8199,台灣虎航,KIX,20240116,1205,225,1530,1859
8229,樂桃,KIX,20240116,1055,230,1425,1860
10725,日本航空,KIX,20240116,1325,230,1655,1861
10939,日本航空,KIX,20240116,1325,230,1655,1862
12242,STARLUX Airlines星宇航空,KIX,20240116,740,230,1110,1863
12177,長榮航空,KIX,20240116,630,225,955,1864
13164,中華航空,KIX,20240116,810,225,1135,1865
9010,樂桃,KIX,20240116,1425,230,1755,1866
12177,長榮航空,KIX,20240116,630,225,955,1867
13814,中華航空,KIX,20240116,950,230,1320,1868
12177,長榮航空,KIX,20240116,1300,225,1625,1869
12177,長榮航空,KIX,20240116,1300,225,1625,1870
10010,樂桃,KIX,20240116,1840,230,2210,1871
15663,中華航空,KIX,20240116,1420,225,1745,1872
23796,中華航空,KIX,20240116,810,225,1135,1873
23796,中華航空,KIX,20240116,1420,225,1745,1874
