Column1,Column2,Column4,Column5,Column6,Column7,Column10,column11
10162,酷航,NRT,20240111,640,305,1045,1
7146,捷星日本,NRT,20240111,1250,305,1655,2
7146,捷星日本,NRT,20240111,220,310,630,3
9817,日本航空,NRT,20240111,1035,300,1435,4
9719,長榮航空,NRT,20240111,850,305,1255,5
9248,中華航空,NRT,20240111,1440,305,1845,6
9719,長榮航空,NRT,20240111,755,305,1200,7
10023,中華航空,NRT,20240111,1235,300,1635,8
10759,中華航空,NRT,20240111,930,300,1330,9
10239,長榮航空,NRT,20240111,850,305,1255,10
10122,STARLUX Airlines,NRT,20240111,1500,300,1900,11
10239,長榮航空,NRT,20240111,755,305,1200,12
10203,國泰航空,NRT,20240111,1250,300,1650,13
9817,日本航空,NRT,20240111,1540,300,1940,14
9719,長榮航空,NRT,20240111,1520,300,1920,15
10812,中華航空,NRT,20240111,1235,300,1635,16
11359,日本航空,NRT,20240111,1035,300,1435,17
10448,中華航空,NRT,20240111,1440,305,1845,18
12318,日本航空,NRT,20240111,930,300,1330,19
10239,長榮航空,NRT,20240111,1520,300,1920,20
10610,樂桃,NRT,20240111,935,305,1340,21
8610,樂桃,NRT,20240111,1655,305,2100,22
12036,酷航,NRT,20240111,640,305,1045,23
12704,STARLUX Airlines,NRT,20240111,830,300,1230,24
12704,STARLUX Airlines,NRT,20240111,1015,300,1415,25
21745,日本航空,NRT,20240111,1540,300,1940,26
30436,長榮航空,NRT,20240111,850,305,1255,27
30436,長榮航空,NRT,20240111,755,305,1200,28
7267,酷航,NRT,20240112,640,305,1045,29
9719,長榮航空,NRT,20240112,850,305,1255,30
9770,長榮航空,NRT,20240112,755,305,1200,31
9607,中華航空,NRT,20240112,1440,305,1845,32
9396,中華航空,NRT,20240112,1625,300,2025,33
10192,國泰航空,NRT,20240112,1250,300,1650,34
10239,長榮航空,NRT,20240112,850,305,1255,35
10691,中華航空,NRT,20240112,1235,300,1635,36
11042,日本航空,NRT,20240112,1035,300,1435,37
10750,長榮航空,NRT,20240112,755,305,1200,38
11234,中華航空,NRT,20240112,930,300,1330,39
10741,長榮航空,NRT,20240112,755,305,1200,40
9719,長榮航空,NRT,20240112,1520,300,1920,41
11359,日本航空,NRT,20240112,1035,300,1435,42
10741,長榮航空,NRT,20240112,755,305,1200,43
12704,STARLUX Airlines,NRT,20240112,1015,300,1415,44
12031,酷航,NRT,20240112,640,305,1045,45
10239,長榮航空,NRT,20240112,1520,300,1920,46
9510,樂桃,NRT,20240112,935,305,1340,47
11042,日本航空,NRT,20240112,1540,300,1940,48
12704,STARLUX Airlines,NRT,20240112,1500,300,1900,49
8610,樂桃,NRT,20240112,1655,305,2100,50
13786,泰國獅子航空,NRT,20240112,1520,305,1925,51
14703,STARLUX Airlines,NRT,20240112,830,300,1230,52
21745,日本航空,NRT,20240112,1540,300,1940,53
24018,中華航空,NRT,20240112,1235,300,1635,54
24018,中華航空,NRT,20240112,1440,305,1845,55
30485,長榮航空,NRT,20240112,850,305,1255,56
44698,中華航空,NRT,20240112,1625,300,2025,57
44698,中華航空,NRT,20240112,930,300,1330,58
8062,泰國獅子航空,NRT,20240113,1520,305,1925,59
10162,酷航,NRT,20240113,640,305,1045,60
12475,STARLUX Airlines,NRT,20240113,1500,300,1900,61
15564,新加坡航空,NRT,20240113,640,305,1045,62
14587,國泰航空,NRT,20240113,1250,300,1650,63
15513,長榮航空,NRT,20240113,755,305,1200,64
12910,樂桃,NRT,20240113,225,305,630,65
12910,樂桃,NRT,20240113,935,305,1340,66
17299,中華航空,NRT,20240113,930,300,1330,67
21310,STARLUX Airlines,NRT,20240113,830,300,1230,68
22086,泰國國際航空,NRT,20240113,755,305,1200,69
22086,泰國國際航空,NRT,20240113,850,305,1255,70
22077,紐西蘭航空,NRT,20240113,850,305,1255,71
22077,紐西蘭航空,NRT,20240113,755,305,1200,72
12910,樂桃,NRT,20240113,1655,305,2100,73
22077,加拿大航空,NRT,20240113,850,305,1255,74
23855,中華航空,NRT,20240113,930,300,1330,75
22077,加拿大航空,NRT,20240113,755,305,1200,76
23641,日本航空,NRT,20240113,1035,300,1435,77
22125,全日空,NRT,20240113,850,305,1255,78
22125,全日空,NRT,20240113,755,305,1200,79
22655,捷星航空,NRT,20240113,1250,305,1655,80
22655,捷星航空,NRT,20240113,220,310,630,81
24802,日本航空,NRT,20240113,1035,300,1435,82
24860,日本航空,NRT,20240113,1540,300,1940,83
24204,中華航空,NRT,20240113,1440,305,1845,84
25835,長榮航空,NRT,20240113,1520,300,1920,85
26651,STARLUX Airlines,NRT,20240113,1015,300,1415,86
26554,中華航空,NRT,20240113,1440,305,1845,87
28521,中華航空,NRT,20240113,1235,300,1635,88
34281,中華航空,NRT,20240113,1235,300,1635,89
42437,長榮航空,NRT,20240113,1520,300,1920,90
44066,長榮航空,NRT,20240113,1520,300,1920,91
44066,長榮航空,NRT,20240113,1520,300,1920,92
14579,國泰航空,NRT,20240114,1250,300,1650,93
16774,日本航空,NRT,20240114,1035,300,1435,94
13547,樂桃,NRT,20240114,225,305,630,95
14541,酷航,NRT,20240114,640,305,1045,96
15513,長榮航空,NRT,20240114,1520,300,1920,97
24192,中華航空,NRT,20240114,930,300,1330,98
26115,STARLUX Airlines,NRT,20240114,1015,300,1415,99
25577,中華航空,NRT,20240114,930,300,1330,100
26115,STARLUX Airlines,NRT,20240114,830,300,1230,101
23256,中華航空,NRT,20240114,1625,300,2025,102
24192,中華航空,NRT,20240114,1440,305,1845,103
22655,捷星日本,NRT,20240114,1250,305,1655,104
23977,日本航空,NRT,20240114,1540,300,1940,105
26115,STARLUX Airlines,NRT,20240114,1500,300,1900,106
24672,中華航空,NRT,20240114,1625,300,2025,107
21108,泰國獅子航空,NRT,20240114,1515,310,1925,108
25577,中華航空,NRT,20240114,1440,305,1845,109
27935,中華航空,NRT,20240114,1235,300,1635,110
